transaction id,user id,amount,time,device id,user location,merchant location,ip address
TX0,USER0,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX1,USER1,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX2,USER2,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX3,USER3,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX4,USER4,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX5,USER5,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX6,USER6,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX7,USER7,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX8,USER8,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX9,USER9,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX10,USER10,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX11,USER11,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX12,USER12,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX13,USER13,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX14,USER14,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX15,USER15,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX16,USER16,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX17,USER17,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX18,USER18,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX19,USER19,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX20,USER20,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX21,USER21,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX22,USER22,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX23,USER23,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
TX24,USER24,100,2024-01-01 12:00:00,DEV1,New York,New York,127.0.0.1
